Date,Close,Label,pct_change,direction,Top1,Top2,Top3,Top4,Top5
2021-03-12,121.029999,AAPL,-0.762545103005452,-1,-0.987,-0.475,0.103,-0.096,-0.384
2021-03-24,120.089996,AAPL,-1.99935121593479,-1,0.082,0.172,0.302,-0.297,-0.217
2021-04-01,123,AAPL,0.695864090120923,1,-0.047,-0.365,0.563,-0.427,-0.103
2021-04-14,132.029999,AAPL,-1.78531140740296,-1,0.192,0.495,0.004,-0.968,0.001
2021-04-29,133.479996,AAPL,-0.074865996782969,-1,-0.332,-0.665,0.114,-0.133,0.067
2021-01-11,2.2,AMC,2.80373831775702,1,-0.415,-0.5,-0.647,0.985,-0.494
2021-01-15,2.33,AMC,6.88073394495412,1,-0.665,-0.004,-1,-0.996,-0.991
2021-01-19,3.06,AMC,31.3304721030043,1,0.663,0.894,0.282,-0.02,-0.999
2021-01-20,2.97,AMC,-2.94117647058824,-1,-0.039,0.011,-0.052,0.048,0.023
2021-01-21,2.98,AMC,0.336700336700324,1,-0.769,0.677,-0.186,-1,0.842
2021-01-22,3.51,AMC,17.7852348993289,1,-0.977,-0.899,-0.347,-0.999,0.234
2021-01-25,4.42,AMC,25.9259259259259,1,-0.506,-0.722,-0.882,-0.999,-0.941
2021-01-26,4.96,AMC,12.2171945701357,1,-0.626,-0.479,-0.998,0.988,0.228
2021-01-27,19.9,AMC,301.209677419355,1,-0.987,0.312,-0.999,-0.17,-0.978
2021-01-28,8.63,AMC,-56.6331658291457,-1,-0.729,-0.875,-0.415,-0.07,-0.442
2021-01-29,13.26,AMC,53.6500579374276,1,-0.606,0.246,-0.215,-0.36,-0.933
2021-02-01,13.3,AMC,0.301659125188536,1,-0.264,0.999,-0.247,-0.206,-0.592
2021-02-02,7.82,AMC,-41.203007518797,-1,-0.282,0.001,-0.394,0.87,-0.659
2021-02-03,8.97,AMC,14.7058823529412,1,-0.714,-0.041,0.155,-0.475,-0.618
2021-02-04,7.09,AMC,-20.958751393534,-1,0.997,-0.797,-0.001,0.101,0.803
2021-02-05,6.83,AMC,-3.66713681241184,-1,0.529,-0.969,-0.556,-0.551,-0.97
2021-02-08,6.18,AMC,-9.51683748169839,-1,-0.302,-0.344,0.043,0.148,-0.446
2021-02-09,5.5,AMC,-11.0032362459547,-1,-0.276,-0.472,-0.969,-0.296,-0.519
2021-02-10,5.8,AMC,5.45454545454545,1,-0.344,-0.742,-0.832,-0.551,-0.614
2021-02-11,5.61,AMC,-3.27586206896551,-1,0.032,0,-0.986,-0.782,-0.56
2021-02-12,5.59,AMC,-0.356506238859189,-1,-0.695,-0.655,0.353,-0.479,-0.442
2021-02-16,5.65,AMC,1.07334525939178,1,-0.409,0.995,-0.577,-0.992,-0.139
2021-02-17,5.55,AMC,-1.76991150442479,-1,-0.775,0.033,-0.685,-0.726,-0.458
2021-02-18,5.51,AMC,-0.720720720720724,-1,-0.407,-0.272,-0.512,-1,-0.508
2021-02-19,5.7,AMC,3.44827586206897,1,0.343,-0.907,-0.998,-0.686,-0.6
2021-02-23,7.7,AMC,17.5572519083969,1,0.983,0.027,0.943,-0.987,-1
2021-02-24,9.09,AMC,18.0519480519481,1,-0.186,0.498,0.997,-0.991,-0.022
2021-02-25,8.29,AMC,-8.80088008800881,-1,0.002,-0.988,-0.013,-0.717,-1
2021-02-26,8.01,AMC,-3.37756332931242,-1,0.799,0.599,-0.502,-0.081,-0.672
2021-03-01,9.18,AMC,14.6067415730337,1,-0.794,-0.061,-0.342,0.999,-0.165
2021-03-02,8.93,AMC,-2.72331154684096,-1,-1,-0.525,-0.386,-0.011,-0.331
2021-03-03,8.58,AMC,-3.91937290033594,-1,-0.097,-0.293,-0.284,-0.72,-0.877
2021-03-04,8.03,AMC,-6.41025641025642,-1,0.977,-0.074,-0.87,-0.066,-0.205
2021-03-05,8.05,AMC,0.249066002490683,1,0.94,-0.833,-0.001,-0.41,0.096
2021-03-09,10.5,AMC,13.0247578040904,1,-0.332,-0.272,0.344,-0.638,-0.108
2021-03-10,9.85,AMC,-6.19047619047619,-1,-0.824,0.008,0.977,-0.871,-0.999
2021-03-11,10.28,AMC,4.36548223350253,1,0.745,-0.57,-0.203,-0.123,-0.19
2021-03-12,11.16,AMC,8.56031128404671,1,-0.148,-1,-0.207,-0.213,0.293
2021-03-15,14.04,AMC,25.8064516129032,1,-0.893,-0.623,-0.188,-0.042,-0.277
2021-03-16,13.02,AMC,-7.26495726495726,-1,0.783,-0.975,-0.61,0.995,0.061
2021-03-17,13.56,AMC,4.14746543778803,1,-0.006,-0.911,-0.492,-0.876,-0.19
2021-03-18,14,AMC,3.24483775811208,1,-0.812,-0.27,-0.123,0.646,-0.216
2021-03-19,13.93,AMC,-0.5,-1,0.064,-0.989,0,0.966,0.264
2021-03-22,12.49,AMC,-10.3374012921752,-1,-0.414,-0.469,-0.328,-0.458,-0.732
2021-03-23,10.66,AMC,-14.6517213771017,-1,-0.605,-0.63,-0.748,-0.005,-0.877
2021-03-24,9.02,AMC,-15.3846153846154,-1,0.082,-0.208,0.791,-0.01,-0.026
2021-03-25,10.94,AMC,21.2860310421286,1,-0.994,0.081,0.986,0.132,-0.604
2021-03-26,10.24,AMC,-6.39853747714807,-1,-0.55,0.575,-0.232,-0.687,-0.139
2021-03-29,10.35,AMC,1.07421875,1,-0.01,-0.556,-0.5,-0.189,0.504
2021-04-13,8.84,AMC,2.55220417633411,1,0.498,0.4,-0.974,-0.19,-0.067
2021-04-28,10.85,AMC,-5.32286212914486,-1,-0.499,0.208,-0.808,-0.271,-0.667
2021-01-05,6.77,BB,2.88753799392096,1,-0.115,-0.981,-0.019,0.9,-0.443
2021-01-06,6.71,BB,-0.886262924667647,-1,-0.522,-0.475,-0.439,-0.372,-0.634
2021-01-07,7.06,BB,5.21609538002981,1,-0.187,-0.5,-0.4,-0.309,0.72
2021-01-08,7.56,BB,7.08215297450425,1,-0.491,-0.999,0.043,-0.403,-0.105
2021-01-11,7.65,BB,1.19047619047621,1,0.238,-0.264,-0.541,-0.242,-0.152
2021-01-12,7.63,BB,-0.261437908496742,-1,0.325,0.048,-0.181,0.803,-0.417
2021-01-13,7.44,BB,-2.49017038007863,-1,-0.474,0.032,-0.465,-0.623,-0.334
2021-01-14,9.11,BB,22.4462365591398,1,-0.015,0.115,-0.392,-0.454,-0.618
2021-01-15,9.84,BB,8.01317233809002,1,-0.598,-0.983,0.016,0.053,-0.096
2021-01-19,12.35,BB,25.5081300813008,1,-0.056,-0.262,-0.402,0.997,-0.677
2021-01-20,12.79,BB,3.56275303643725,1,0.021,-0.726,-0.242,-0.845,-0.043
2021-01-21,12.85,BB,0.469116497263489,1,0.139,0.994,-1,0.12,-0.655
2021-01-22,14.04,BB,9.26070038910505,1,-0.391,0.027,-0.061,-0.919,-0.325
2021-01-25,18.030001,BB,28.4188105413105,1,0.091,-0.714,-0.722,0.56,0.996
2021-01-26,18.92,BB,4.93621159532938,1,-0.405,-0.494,-0.999,0.882,-0.359
2021-01-27,25.1,BB,32.6638477801269,1,-0.999,-0.17,-0.924,-0.544,-0.22
2021-01-28,14.65,BB,-41.6334661354582,-1,-0.599,-0.288,-0.394,-0.152,-0.394
2021-01-29,14.1,BB,-3.7542662116041,-1,-0.403,-0.328,-0.421,0.246,0.034
2021-02-01,14.63,BB,3.75886524822695,1,-0.206,-0.313,0.832,-0.99,-0.622
2021-02-02,11.55,BB,-21.0526315789474,-1,-0.282,-0.764,-0.844,-1,-0.284
2021-02-03,12,BB,3.89610389610389,1,-0.714,-0.451,-0.675,-0.041,-0.475
2021-02-04,12.15,BB,1.25,1,-0.26,-0.299,-0.429,-0.501,-0.5
2021-02-05,13.23,BB,8.88888888888888,1,-0.508,-0.184,-0.253,0.002,-0.923
2021-02-08,13.76,BB,4.00604686318971,1,-0.57,-0.302,-0.938,-0.066,0.043
2021-02-09,13.43,BB,-2.39825581395349,-1,-0.276,-0.097,-0.472,-0.016,-0.969
2021-02-10,13.1,BB,-2.45718540580789,-1,-0.614,-0.572,0.114,-0.538,-0.083
2021-02-11,12.46,BB,-4.8854961832061,-1,0.032,-0.334,-0.002,-0.429,-0.363
2021-02-12,13.04,BB,4.6548956661316,1,-0.655,-0.346,0.011,-1,-0.029
2021-02-16,12.21,BB,-6.36503067484662,-1,-0.556,0.057,0.001,-0.175,-0.1
2021-02-17,11.32,BB,-7.28910728910729,-1,0.033,-0.726,0.169,-0.019,-0.458
2021-02-18,10.94,BB,-3.35689045936396,-1,-0.064,-0.352,-1,-0.086,0.992
2021-02-19,10.9,BB,-0.365630712979881,-1,0.878,0.285,-0.04,-0.421,-0.568
2021-02-22,10.68,BB,-2.01834862385322,-1,-0.489,-0.131,-0.713,0.219,-0.919
2021-02-23,10.4,BB,-2.62172284644194,-1,-0.958,-0.265,-0.206,-0.792,-0.772
2021-02-24,11.32,BB,8.84615384615384,1,-0.883,-0.554,-0.133,0.473,-0.684
2021-02-25,10.58,BB,-6.53710247349824,-1,-0.53,-0.256,-0.539,-0.006,0.255
2021-02-26,10.05,BB,-5.0094517958412,-1,-0.511,-0.589,-0.502,-0.547,-0.247
2021-03-01,10.91,BB,8.55721393034825,1,-0.431,-0.465,-0.712,-0.273,-0.606
2021-03-02,10.5,BB,-3.75802016498625,-1,-0.432,-0.351,-0.525,-1,-1
2021-03-03,10.15,BB,-3.33333333333333,-1,-0.238,-0.284,-0.114,-0.148,-0.482
2021-03-04,9.84,BB,-3.05418719211823,-1,-0.261,-0.817,-0.019,-0.435,-0.171
2021-03-05,9.45,BB,-3.96341463414634,-1,0.209,-0.41,0.096,-0.349,-0.704
2021-03-08,9.75,BB,3.17460317460319,1,-0.538,-0.553,0.223,-0.345,-0.187
2021-03-09,10.45,BB,7.17948717948718,1,-0.512,-0.472,0.027,0.303,-0.638
