Date,Close,Label,pct_change,direction,Top1,Top2
2021-01-22,2.18,OCGN,-3.11111111111111,-1,-0.545,-0.953
2021-01-25,2.08,OCGN,-4.58715596330276,-1,0.091,-0.618
2021-01-26,1.92,OCGN,-7.6923076923077,-1,-0.652,0.176
2021-01-27,1.66,OCGN,-13.5416666666667,-1,-0.383,-0.333
2021-01-28,1.82,OCGN,9.63855421686748,1,-0.394,-0.872
2021-01-29,1.77,OCGN,-2.74725274725275,-1,-0.291,0.02
2021-02-01,1.81,OCGN,2.25988700564972,1,-0.264,0.011
2021-02-02,3.26,OCGN,80.110497237569,1,-0.584,-0.701
2021-02-03,2.81,OCGN,-13.8036809815951,-1,0.717,-0.506
2021-02-04,3.25,OCGN,15.6583629893238,1,0.178,-0.769
2021-02-05,5.25,OCGN,61.5384615384615,1,-0.333,-0.904
2021-02-08,15.81,OCGN,201.142857142857,1,0.948,-0.318
2021-02-09,12.61,OCGN,-20.2403542061986,-1,0.007,0.158
2021-02-10,10.25,OCGN,-18.7153053132435,-1,-0.18,0.183
2021-02-11,10.99,OCGN,7.21951219512196,1,-0.462,-0.207
2021-02-12,10.28,OCGN,-6.4604185623294,-1,0.141,-0.346
2021-02-16,10.96,OCGN,6.61478599221792,1,-0.216,0.049
2021-02-18,10.17,OCGN,-0.586510263929618,-1,-0.571,-0.033
2021-02-22,9.18,OCGN,-10.6134371957157,-1,-0.969,-0.353
2021-02-23,8.59,OCGN,-6.42701525054466,-1,-0.632,-0.057
2021-02-24,8.93,OCGN,3.9580908032596,1,-0.554,0.473
2021-02-26,10.95,OCGN,36.875,1,-0.391,0.344
2021-03-01,10.02,OCGN,-8.49315068493151,-1,-0.273,-0.999
2021-03-02,9.6,OCGN,-4.19161676646707,-1,-0.5,-0.33
2021-03-03,10.46,OCGN,8.95833333333336,1,0.777,0.445
2021-03-04,8.97,OCGN,-14.244741873805,-1,-0.01,0.984
2021-03-05,8.74,OCGN,-2.56410256410257,-1,0.096,0.209
2021-03-08,8.63,OCGN,-1.25858123569793,-1,0.223,-0.001
2021-03-09,8.78,OCGN,1.73812282734644,1,-0.638,0.996
2021-03-10,8.11,OCGN,-7.63097949886105,-1,-0.25,-0.846
2021-03-11,9.6,OCGN,18.3723797780518,1,-0.123,0.93
2021-03-12,10,OCGN,4.16666666666667,1,-0.464,-0.332
2021-03-15,9.9,OCGN,-1,-1,0.05,-0.227
2021-03-16,9.13,OCGN,-7.77777777777777,-1,-0.268,0.647
2021-03-17,9.55,OCGN,4.60021905805039,1,-0.081,-0.244
2021-03-18,8.9,OCGN,-6.80628272251309,-1,-0.71,-0.455
2021-03-23,8.08,OCGN,-5.27549824150058,-1,0.488,0.01
2021-03-24,7.42,OCGN,-8.16831683168316,-1,-0.365,0.043
2021-03-25,7.7,OCGN,3.77358490566038,1,-0.381,-0.023
2021-04-01,6.7,OCGN,-1.32547864506627,-1,-0.047,-0.054
2021-04-09,6.96,OCGN,0.723589001447178,1,-0.585,0.423
2021-04-27,11.66,OCGN,0.603968938740307,1,0.904,-0.321
2021-04-28,11.21,OCGN,-3.85934819897084,-1,0.018,0.838
2021-05-06,9.58,OCGN,-12.1906507791017,-1,0.308,0.147
2021-01-05,9.51,TLRY,5.66666666666666,1,0.001,-0.11
2021-01-06,10.77,TLRY,13.2492113564669,1,-0.799,-0.996
2021-01-07,11.34,TLRY,5.29247910863511,1,-0.627,0.041
2021-01-08,11.31,TLRY,-0.264550264550256,-1,0.316,-0.458
2021-01-11,12.33,TLRY,9.01856763925728,1,-0.341,0.997
2021-01-12,13.35,TLRY,8.27250608272505,1,0.021,-0.678
2021-01-13,15.02,TLRY,12.5093632958801,1,-0.426,-0.703
2021-01-14,18.559999,TLRY,23.568568575233,1,-0.073,-0.33
2021-01-15,19.700001,TLRY,6.14225248611273,1,-0.041,-0.712
2021-01-19,20.09,TLRY,1.97969025483806,1,-0.327,-0.196
2021-01-20,18.790001,TLRY,-6.47087605774017,-1,-0.683,-0.903
2021-01-21,17.92,TLRY,-4.63012748110018,-1,-0.597,-0.98
2021-01-22,18.02,TLRY,0.558035714285698,1,-0.257,-0.437
2021-01-25,17.18,TLRY,-4.66148723640399,-1,-1,-0.845
2021-01-26,19.030001,TLRY,10.7683410942957,1,-0.218,-1
2021-01-27,18.549999,TLRY,-2.52234353534716,-1,-0.972,-0.995
2021-01-29,18.1,TLRY,-3.20856132574537,-1,-0.671,-0.773
2021-02-01,19.1,TLRY,5.52486187845305,1,-0.513,0.809
2021-02-02,23.49,TLRY,22.9842931937173,1,0.125,0.389
2021-02-03,26.309999,TLRY,12.005104299702,1,-0.146,0.307
2021-02-04,26.780001,TLRY,1.78640067603195,1,-0.429,-0.475
2021-02-05,25.719999,TLRY,-3.95818506504162,-1,-0.779,-0.036
2021-02-10,63.91,TLRY,50.9090980358488,1,-0.984,-0.551
2021-02-11,32.16,TLRY,-49.6792364262244,-1,-0.501,-0.342
2021-02-12,29,TLRY,-9.82587064676616,-1,-0.869,-0.695
