Date,Close,Label,pct_change,direction,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2021-04-13,140.990005,GME,-0.0708703684420109,-1,0.979,-0.67,-0.313,-1,0.993,-0.998,-0.344,-0.788,-0.974,-0.19
2021-04-14,166.529999,GME,18.1147550140168,1,0.999,-0.54,-0.213,-0.247,-0.91,-1,-0.774,-0.005,-0.879,-0.277
2021-04-15,156.440002,GME,-6.05896658895675,-1,0.998,-0.421,-0.345,-0.226,0.01,0.879,-0.713,-0.56,-0.978,0.951
2021-04-16,154.690002,GME,-1.11863971978216,-1,0.996,0.382,-1,-0.17,0.004,-0.877,-0.367,-0.558,0.984,0.218
2021-04-27,177.770004,GME,5.23294344776302,1,-0.999,-0.739,-0.006,-0.806,0.992,0.992,-0.444,-0.668,0.815,-0.11
2021-05-06,161.009995,GME,0.959367342848449,1,-0.726,-0.536,0.982,-0.428,-0.991,-0.378,-0.172,-0.091,-0.407,-0.465
2021-01-08,132.050003,AAPL,0.863126349879728,1,0.147,-0.046,-0.787,-0.981,-0.417,-0.552,-0.085,-0.991,-0.999,0.124
2021-01-11,128.979996,AAPL,-2.32488218875694,-1,-0.359,-0.172,-0.199,-0.408,-0.189,0.039,0.114,0.44,0.456,0.071
2021-01-12,128.800003,AAPL,-0.139551097520574,-1,-0.492,-0.254,-0.722,0.016,0.782,-0.181,-0.645,-0.502,0.986,0.999
2021-01-13,130.889999,AAPL,1.62266766406829,1,-0.47,-0.012,0.988,-0.465,-0.152,-0.368,0.269,-0.266,-0.773,-0.995
2021-01-14,128.910004,AAPL,-1.51271679664388,-1,-0.305,-0.59,-0.047,-0.504,-0.07,-0.637,-0.952,-0.228,0.36,-0.272
2021-01-15,127.139999,AAPL,-1.37305480186005,-1,0.016,-0.442,0.001,-0.459,-0.234,-0.522,-0.022,0.207,-0.703,0.983
2021-01-19,127.830002,AAPL,0.542711188789613,1,-0.262,0.141,0.972,0.099,-0.691,0.987,-0.207,0.916,0.861,-0.586
2021-01-20,132.029999,AAPL,3.28561130743001,1,-0.242,0.173,-0.292,-0.314,-0.849,-0.664,0.821,-0.497,0.141,-0.52
2021-01-21,136.869995,AAPL,3.66583052083489,1,-0.056,0.3,-0.173,-0.387,-0.691,0.995,-0.325,-0.475,-0.247,-0.666
2021-01-22,139.070007,AAPL,1.60737347875259,1,-0.047,0.059,-0.495,-0.115,0.547,-0.495,0.404,-0.677,0.95,-0.337
2021-01-25,142.919998,AAPL,2.76838340850878,1,-0.125,-0.134,-0.052,-0.062,-0.612,-0.998,0.25,-0.007,-0.2,-0.496
2021-01-26,143.160004,AAPL,0.167930313013298,1,-0.166,0.489,0.176,-0.998,-0.165,-0.213,-0.203,-0.57,-1,-0.841
2021-01-27,142.059998,AAPL,-0.768375223012696,-1,0.181,-0.294,0.033,-0.623,0.003,-0.202,-0.039,-0.665,-0.933,-0.731
2021-01-29,131.960007,AAPL,-3.7420593403475,-1,0.065,-0.578,-0.657,-0.529,0.319,-0.573,-0.203,-0.465,-0.298,-0.906
2021-02-01,134.139999,AAPL,1.65200961227594,1,-0.447,-0.487,0.031,-0.688,-0.427,-0.265,-0.31,-0.109,0.135,-0.028
2021-02-03,133.940002,AAPL,-0.777837588790375,-1,-0.009,-0.405,-0.162,-0.318,-0.312,-0.139,-0.461,0.237,0.018,-0.062
2021-02-04,137.389999,AAPL,2.57577792181904,1,-0.512,0.057,-0.743,-0.053,-0.408,0.001,0.012,0.195,-0.153,-0.997
2021-02-05,136.759995,AAPL,-0.458551571865129,-1,0.13,-0.324,-0.252,-0.295,-0.23,-0.396,-0.447,-0.575,-0.247,-0.014
2021-02-24,125.349998,AAPL,-0.405214520854802,-1,-0.305,-0.583,-0.457,0.14,0.212,0.473,-0.574,-0.664,-0.312,-0.488
2021-03-03,122.059998,AAPL,-2.44565611143728,-1,-0.284,-0.242,-0.107,-0.555,-0.475,-0.264,0.679,-0.61,-0.344,-0.993
2021-03-04,120.129997,AAPL,-1.58119042407324,-1,0.015,0.226,-0.986,-0.603,-0.19,-0.994,-0.203,-0.187,-0.356,-0.484
2021-01-15,2.33,AMC,6.88073394495412,1,-0.665,-0.004,-1,-0.996,-0.991,0.786,-0.121,-0.693,0.822,-1
2021-01-19,3.06,AMC,31.3304721030043,1,0.663,0.894,0.282,-0.02,-0.999,0.438,0.998,-0.968,-1,0.822
2021-01-20,2.97,AMC,-2.94117647058824,-1,-0.039,0.011,-0.052,0.048,0.023,-0.667,-0.306,-0.998,-0.989,-0.789
2021-01-21,2.98,AMC,0.336700336700324,1,-0.769,0.677,-0.186,-1,0.842,-1,-0.999,-0.616,-0.446,-0.156
2021-01-22,3.51,AMC,17.7852348993289,1,-0.977,-0.899,-0.347,-0.999,0.234,0.977,-0.984,-0.363,-1,-0.993
2021-01-25,4.42,AMC,25.9259259259259,1,-0.506,-0.722,-0.882,-0.999,-0.941,0.958,-0.648,-0.999,-0.555,-0.508
2021-01-26,4.96,AMC,12.2171945701357,1,-0.626,-0.479,-0.998,0.988,0.228,-0.825,0.108,-0.974,0.424,-0.821
2021-01-27,19.9,AMC,301.209677419355,1,-0.987,0.312,-0.999,-0.17,-0.978,0.043,-0.637,-0.603,-0.999,-0.424
2021-01-28,8.63,AMC,-56.6331658291457,-1,-0.729,-0.875,-0.415,-0.07,-0.442,-0.904,-0.685,-0.458,-0.615,0.23
2021-01-29,13.26,AMC,53.6500579374276,1,-0.606,0.246,-0.215,-0.36,-0.933,-1,-0.178,-0.136,-0.38,-1
2021-02-01,13.3,AMC,0.301659125188536,1,-0.264,0.999,-0.247,-0.206,-0.592,-0.997,-0.447,0.178,-0.622,-0.341
2021-02-02,7.82,AMC,-41.203007518797,-1,-0.282,0.001,-0.394,0.87,-0.659,-0.657,-0.435,-1,0.966,-0.997
2021-02-03,8.97,AMC,14.7058823529412,1,-0.714,-0.041,0.155,-0.475,-0.618,-0.831,-0.816,0.469,0.595,0.042
2021-02-04,7.09,AMC,-20.958751393534,-1,0.997,-0.797,-0.001,0.101,0.803,-0.021,0.172,-0.984,-0.299,0.305
2021-02-05,6.83,AMC,-3.66713681241184,-1,0.529,-0.969,-0.556,-0.551,-0.97,-0.141,-0.595,0.826,0.002,-0.009
